Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
F5_JobCategories,Chrome 113.0.0.0,,,2023-05-30 14:37:01,2023-05-30 14:37:51,50.238s,PASSED
,,,,,,,
Test Cases/PROJECT WEB/F5_Job Categories/Add Job Category/JC1_TC1_Add New Job Categories (P),Chrome 113.0.0.0,,,2023-05-30 14:37:01,2023-05-30 14:37:27,25.422s,PASSED
"callTestCase(findTestCase(""PROJECT WEB/Common/F1_LoginFeatures/LF1_TC1_SUCCESSFULY LOGIN (P)""), [""username"":""Admin"", ""password"":""hUKwJTbofgPU9eVlw/CnDQ==""], STOP_ON_FAILURE)",Chrome 113.0.0.0,,,2023-05-30 14:37:02,2023-05-30 14:37:17,14.967s,PASSED
"click(findTestObject(""Object Repository/PROJECT WEB/Job Categories/span_Admin""))",Chrome 113.0.0.0,,,2023-05-30 14:37:17,2023-05-30 14:37:18,1.280s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/web/index.php/admin/viewSystemUsers"")",Chrome 113.0.0.0,,,2023-05-30 14:37:18,2023-05-30 14:37:19,0.627s,PASSED
"click(findTestObject(""Object Repository/PROJECT WEB/Job Categories/span_Job""))",Chrome 113.0.0.0,,,2023-05-30 14:37:19,2023-05-30 14:37:20,1.364s,PASSED
"click(findTestObject(""Object Repository/PROJECT WEB/Job Categories/a_Job Categories""))",Chrome 113.0.0.0,,,2023-05-30 14:37:20,2023-05-30 14:37:21,0.988s,PASSED
"click(findTestObject(""Object Repository/PROJECT WEB/Job Categories/button_Add_Job Category""))",Chrome 113.0.0.0,,,2023-05-30 14:37:21,2023-05-30 14:37:23,1.868s,PASSED
"click(findTestObject(""Object Repository/PROJECT WEB/Job Categories/input_Job Category""))",Chrome 113.0.0.0,,,2023-05-30 14:37:23,2023-05-30 14:37:24,1.011s,PASSED
"setText(findTestObject(""Object Repository/PROJECT WEB/Job Categories/input_Job Category""), ""Professional IT"")",Chrome 113.0.0.0,,,2023-05-30 14:37:24,2023-05-30 14:37:25,0.816s,PASSED
"click(findTestObject(""Object Repository/PROJECT WEB/Job Categories/button_Save""))",Chrome 113.0.0.0,,,2023-05-30 14:37:25,2023-05-30 14:37:25,0.396s,PASSED
"click(findTestObject(""Object Repository/PROJECT WEB/Job Categories/p_Successfully Saved""))",Chrome 113.0.0.0,,,2023-05-30 14:37:25,2023-05-30 14:37:27,1.608s,PASSED
,,,,,,,
Test Cases/PROJECT WEB/F5_Job Categories/Add Job Category/JC1_TC2_Add Existing Job Categories (N),Chrome 113.0.0.0,,,2023-05-30 14:37:27,2023-05-30 14:37:51,24.499s,PASSED
"callTestCase(findTestCase(""PROJECT WEB/Common/F1_LoginFeatures/LF1_TC1_SUCCESSFULY LOGIN (P)""), [""username"":""Admin"", ""password"":""hUKwJTbofgPU9eVlw/CnDQ==""], STOP_ON_FAILURE)",Chrome 113.0.0.0,,,2023-05-30 14:37:27,2023-05-30 14:37:41,14.235s,PASSED
"click(findTestObject(""Object Repository/PROJECT WEB/Job Categories/span_Admin""))",Chrome 113.0.0.0,,,2023-05-30 14:37:41,2023-05-30 14:37:43,1.277s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/web/index.php/admin/viewSystemUsers"")",Chrome 113.0.0.0,,,2023-05-30 14:37:43,2023-05-30 14:37:43,0.630s,PASSED
"click(findTestObject(""Object Repository/PROJECT WEB/Job Categories/span_Job""))",Chrome 113.0.0.0,,,2023-05-30 14:37:43,2023-05-30 14:37:44,0.933s,PASSED
"click(findTestObject(""Object Repository/PROJECT WEB/Job Categories/a_Job Categories""))",Chrome 113.0.0.0,,,2023-05-30 14:37:44,2023-05-30 14:37:46,1.381s,PASSED
"click(findTestObject(""Object Repository/PROJECT WEB/Job Categories/button_Add_Job Category""))",Chrome 113.0.0.0,,,2023-05-30 14:37:46,2023-05-30 14:37:48,2.025s,PASSED
"click(findTestObject(""Object Repository/PROJECT WEB/Job Categories/input_Job Category""))",Chrome 113.0.0.0,,,2023-05-30 14:37:48,2023-05-30 14:37:50,2.059s,PASSED
"setText(findTestObject(""Object Repository/PROJECT WEB/Job Categories/input_Job Category""), ""Professional IT"")",Chrome 113.0.0.0,,,2023-05-30 14:37:50,2023-05-30 14:37:50,0.716s,PASSED
"click(findTestObject(""Object Repository/PROJECT WEB/Job Categories/button_Save""))",Chrome 113.0.0.0,,,2023-05-30 14:37:50,2023-05-30 14:37:51,0.509s,PASSED
"verifyElementPresent(findTestObject(""PROJECT WEB/Job Categories/span_Already exists_JC""), 0)",Chrome 113.0.0.0,,,2023-05-30 14:37:51,2023-05-30 14:37:51,0.344s,PASSED
