Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
F4_EmployStatus,Chrome 113.0.0.0,,,2023-05-30 13:38:45,2023-05-30 13:41:38,2m - 53.895s,FAILED
,,,,,,,
Test Cases/PROJECT WEB/F4_Employment Status/Add Employment Status/ES01_TC01_Add Employ Status-CustomKeywords (P),Chrome 113.0.0.0,,,2023-05-30 13:38:45,2023-05-30 13:39:19,34.369s,PASSED
"callTestCase(findTestCase(""PROJECT WEB/Common/F1_LoginFeatures/LF1_TC1_SUCCESSFULY LOGIN (P)""), [""username"":""Admin"", ""password"":""hUKwJTbofgPU9eVlw/CnDQ==""], STOP_ON_FAILURE)",Chrome 113.0.0.0,,,2023-05-30 13:38:46,2023-05-30 13:39:06,20.385s,PASSED
"click(findTestObject(""Object Repository/PROJECT WEB/Employment Status/span_Admin""))",Chrome 113.0.0.0,,,2023-05-30 13:39:06,2023-05-30 13:39:07,1.441s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/web/index.php/admin/viewSystemUsers"")",Chrome 113.0.0.0,,,2023-05-30 13:39:07,2023-05-30 13:39:08,0.518s,PASSED
"click(findTestObject(""Object Repository/PROJECT WEB/Employment Status/span_Job""))",Chrome 113.0.0.0,,,2023-05-30 13:39:08,2023-05-30 13:39:09,1.052s,PASSED
"click(findTestObject(""Object Repository/PROJECT WEB/Employment Status/a_Employment Status""))",Chrome 113.0.0.0,,,2023-05-30 13:39:09,2023-05-30 13:39:15,5.516s,PASSED
"click(findTestObject(""Object Repository/PROJECT WEB/Employment Status/button_Add_EmploymentStatus""))",Chrome 113.0.0.0,,,2023-05-30 13:39:15,2023-05-30 13:39:16,1.333s,PASSED
result = addEmployStatus.employStatus.addEmploymentStatus(employStatus),Chrome 113.0.0.0,,,2023-05-30 13:39:16,2023-05-30 13:39:16,0.017s,PASSED
"setText(findTestObject(""Object Repository/PROJECT WEB/Employment Status/input_Name_EmploymentStatus""), result)",Chrome 113.0.0.0,,,2023-05-30 13:39:16,2023-05-30 13:39:18,1.882s,PASSED
"click(findTestObject(""Object Repository/PROJECT WEB/Employment Status/button_Save""))",Chrome 113.0.0.0,,,2023-05-30 13:39:18,2023-05-30 13:39:18,0.502s,PASSED
"click(findTestObject(""Object Repository/PROJECT WEB/Employment Status/p_Successfully Saved""))",Chrome 113.0.0.0,,,2023-05-30 13:39:18,2023-05-30 13:39:19,0.975s,PASSED
,,,,,,,
Test Cases/PROJECT WEB/F4_Employment Status/Add Employment Status/ES01_TC01_Add Existing Employ Status (N),Chrome 113.0.0.0,,,2023-05-30 13:41:05,2023-05-30 13:41:38,33.511s,FAILED
"callTestCase(findTestCase(""PROJECT WEB/Common/F1_LoginFeatures/LF1_TC1_SUCCESSFULY LOGIN (P)""), [""username"":""Admin"", ""password"":""hUKwJTbofgPU9eVlw/CnDQ==""], STOP_ON_FAILURE)",Chrome 113.0.0.0,,,2023-05-30 13:41:05,2023-05-30 13:41:30,25.082s,PASSED
"click(findTestObject(""Object Repository/PROJECT WEB/Employment Status/span_Admin""))",Chrome 113.0.0.0,,,2023-05-30 13:41:30,2023-05-30 13:41:31,1.335s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/web/index.php/admin/viewSystemUsers"")",Chrome 113.0.0.0,,,2023-05-30 13:41:31,2023-05-30 13:41:32,0.551s,PASSED
"click(findTestObject(""Object Repository/PROJECT WEB/Employment Status/span_Job""))",Chrome 113.0.0.0,,,2023-05-30 13:41:32,2023-05-30 13:41:33,1.306s,PASSED
"click(findTestObject(""Object Repository/PROJECT WEB/Employment Status/a_Employment Status""))",Chrome 113.0.0.0,,,2023-05-30 13:41:33,2023-05-30 13:41:34,1.007s,PASSED
"click(findTestObject(""Object Repository/PROJECT WEB/Employment Status/button_Add_EmploymentStatus""))",Chrome 113.0.0.0,,,2023-05-30 13:41:34,2023-05-30 13:41:36,1.318s,PASSED
"setText(findTestObject(""Object Repository/PROJECT WEB/Employment Status/input_Name_EmploymentStatus""), ""Freelance"")",Chrome 113.0.0.0,,,2023-05-30 13:41:36,2023-05-30 13:41:37,1.352s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/PROJECT WEB/Employment Status/span_Already exists""), 0)",Chrome 113.0.0.0,,,2023-05-30 13:41:37,2023-05-30 13:41:38,1.546s,FAILED
