Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
F3_JobTitles,Chrome 113.0.0.0,,,2023-05-31 18:30:52,2023-05-31 18:34:19,3m - 26.987s,PASSED
,,,,,,,
Test Cases/PROJECT WEB/F3_Job Titles/Add Job Titles/JT01_TC01_Add Job Titles Success_DDT (P),Chrome 113.0.0.0,,,2023-05-31 18:30:52,2023-05-31 18:31:21,29.103s,PASSED
"callTestCase(findTestCase(""PROJECT WEB/Common/F1_LoginFeatures/LF1_TC1_SUCCESSFULY LOGIN (P)""), [""username"":""Admin"", ""password"":""hUKwJTbofgPU9eVlw/CnDQ==""], STOP_ON_FAILURE)",Chrome 113.0.0.0,,,2023-05-31 18:30:53,2023-05-31 18:31:09,15.683s,PASSED
"click(findTestObject(""PROJECT WEB/Job Titles/span_Admin_JT""))",Chrome 113.0.0.0,,,2023-05-31 18:31:09,2023-05-31 18:31:10,1.272s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/web/index.php/admin/viewSystemUsers"")",Chrome 113.0.0.0,,,2023-05-31 18:31:10,2023-05-31 18:31:10,0.555s,PASSED
"click(findTestObject(""PROJECT WEB/Job Titles/span_Job_JT""))",Chrome 113.0.0.0,,,2023-05-31 18:31:10,2023-05-31 18:31:12,2.045s,PASSED
"click(findTestObject(""PROJECT WEB/Job Titles/a_Job Titles""))",Chrome 113.0.0.0,,,2023-05-31 18:31:12,2023-05-31 18:31:13,1.009s,PASSED
"click(findTestObject(""PROJECT WEB/Job Titles/button_Add_JT""))",Chrome 113.0.0.0,,,2023-05-31 18:31:13,2023-05-31 18:31:16,2.213s,PASSED
"setText(findTestObject(""PROJECT WEB/Job Titles/input_Job Title""), jobtitles)",Chrome 113.0.0.0,,,2023-05-31 18:31:16,2023-05-31 18:31:18,2.240s,PASSED
"setText(findTestObject(""PROJECT WEB/Job Titles/textarea_Job Description_JT""), description)",Chrome 113.0.0.0,,,2023-05-31 18:31:18,2023-05-31 18:31:19,0.702s,PASSED
