Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
F2_payGrade,Chrome 113.0.0.0,,,2023-05-31 18:22:29,2023-05-31 18:28:34,6m - 4.493s,PASSED
,,,,,,,
Test Cases/PROJECT WEB/F2_Pay Grades/Add New Pay Grade/PG01_TC01_AddGradeSuccess (P),Chrome 113.0.0.0,,,2023-05-31 18:22:29,2023-05-31 18:23:13,43.212s,PASSED
"callTestCase(findTestCase(""PROJECT WEB/Common/F1_LoginFeatures/LF1_TC1_SUCCESSFULY LOGIN (P)""), [""username"":""Admin"", ""password"":""hUKwJTbofgPU9eVlw/CnDQ==""], STOP_ON_FAILURE)",Chrome 113.0.0.0,,,2023-05-31 18:22:30,2023-05-31 18:22:45,15.573s,PASSED
"click(findTestObject(""Object Repository/PROJECT WEB/Pay Grade/span_Admin""))",Chrome 113.0.0.0,,,2023-05-31 18:22:45,2023-05-31 18:22:47,1.484s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/web/index.php/admin/viewSystemUsers"")",Chrome 113.0.0.0,,,2023-05-31 18:22:47,2023-05-31 18:22:48,0.605s,PASSED
"click(findTestObject(""Object Repository/PROJECT WEB/Pay Grade/span_Job""))",Chrome 113.0.0.0,,,2023-05-31 18:22:48,2023-05-31 18:22:50,2.097s,PASSED
"click(findTestObject(""Object Repository/PROJECT WEB/Pay Grade/a_Pay Grades""))",Chrome 113.0.0.0,,,2023-05-31 18:22:50,2023-05-31 18:22:51,1.026s,PASSED
"click(findTestObject(""Object Repository/PROJECT WEB/Pay Grade/button_AddPayGrade""))",Chrome 113.0.0.0,,,2023-05-31 18:22:51,2023-05-31 18:23:03,12.253s,PASSED
"setText(findTestObject(""PROJECT WEB/Pay Grade/input_Name_Pay Grade""), ""DG 41"")",Chrome 113.0.0.0,,,2023-05-31 18:23:03,2023-05-31 18:23:08,4.878s,PASSED
"click(findTestObject(""PROJECT WEB/Pay Grade/button_Save""))",Chrome 113.0.0.0,,,2023-05-31 18:23:08,2023-05-31 18:23:08,0.403s,PASSED
"click(findTestObject(""Object Repository/PROJECT WEB/Pay Grade/p_Successfully Updated""))",Chrome 113.0.0.0,,,2023-05-31 18:23:08,2023-05-31 18:23:13,4.401s,PASSED
,,,,,,,
Test Cases/PROJECT WEB/F2_Pay Grades/Add New Pay Grade/PG01_TC02_Add Exist Grade (N),Chrome 113.0.0.0,,,2023-05-31 18:23:13,2023-05-31 18:23:42,29.423s,PASSED
"callTestCase(findTestCase(""PROJECT WEB/Common/F1_LoginFeatures/LF1_TC1_SUCCESSFULY LOGIN (P)""), [""username"":""Admin"", ""password"":""hUKwJTbofgPU9eVlw/CnDQ==""], STOP_ON_FAILURE)",Chrome 113.0.0.0,,,2023-05-31 18:23:13,2023-05-31 18:23:30,16.835s,PASSED
"click(findTestObject(""Object Repository/PROJECT WEB/Pay Grade/span_Admin""))",Chrome 113.0.0.0,,,2023-05-31 18:23:30,2023-05-31 18:23:32,2.033s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/web/index.php/admin/viewSystemUsers"")",Chrome 113.0.0.0,,,2023-05-31 18:23:32,2023-05-31 18:23:33,0.752s,PASSED
"click(findTestObject(""Object Repository/PROJECT WEB/Pay Grade/span_Job""))",Chrome 113.0.0.0,,,2023-05-31 18:23:33,2023-05-31 18:23:35,2.049s,PASSED
"click(findTestObject(""Object Repository/PROJECT WEB/Pay Grade/a_Pay Grades""))",Chrome 113.0.0.0,,,2023-05-31 18:23:35,2023-05-31 18:23:36,1.169s,PASSED
"click(findTestObject(""Object Repository/PROJECT WEB/Pay Grade/button_AddPayGrade""))",Chrome 113.0.0.0,,,2023-05-31 18:23:36,2023-05-31 18:23:38,2.043s,PASSED
"setText(findTestObject(""Object Repository/PROJECT WEB/Pay Grade/input_Name_Pay Grade""), ""DG 41"")",Chrome 113.0.0.0,,,2023-05-31 18:23:38,2023-05-31 18:23:41,3.318s,PASSED
"click(findTestObject(""Object Repository/PROJECT WEB/Pay Grade/button_Save""))",Chrome 113.0.0.0,,,2023-05-31 18:23:41,2023-05-31 18:23:42,0.503s,PASSED
