Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Test Cases/PROJECT WEB/F6_Education Qualification/Add Education Level/EQ1_TC2_Same Skill Name (N),Chrome 113.0.0.0,,,2023-05-30 14:59:28,2023-05-30 14:59:50,21.337s,PASSED
"callTestCase(findTestCase(""PROJECT WEB/Common/F1_LoginFeatures/LF1_TC1_SUCCESSFULY LOGIN (P)""), [""username"":""Admin"", ""password"":""hUKwJTbofgPU9eVlw/CnDQ==""], STOP_ON_FAILURE)",Chrome 113.0.0.0,,,2023-05-30 14:59:29,2023-05-30 14:59:42,13.637s,PASSED
"click(findTestObject(""Object Repository/PROJECT WEB/Education Level/Page_OrangeHRM/a_Admin""))",Chrome 113.0.0.0,,,2023-05-30 14:59:42,2023-05-30 14:59:44,1.258s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/web/index.php/admin/viewSystemUsers"")",Chrome 113.0.0.0,,,2023-05-30 14:59:44,2023-05-30 14:59:44,0.607s,PASSED
"click(findTestObject(""Object Repository/PROJECT WEB/Education Level/Page_OrangeHRM/span_Qualifications""))",Chrome 113.0.0.0,,,2023-05-30 14:59:44,2023-05-30 14:59:45,0.993s,PASSED
"click(findTestObject(""Object Repository/PROJECT WEB/Education Level/Page_OrangeHRM/a_Education""))",Chrome 113.0.0.0,,,2023-05-30 14:59:45,2023-05-30 14:59:47,1.420s,PASSED
"click(findTestObject(""Object Repository/PROJECT WEB/Education Level/Page_OrangeHRM/button_Add""))",Chrome 113.0.0.0,,,2023-05-30 14:59:47,2023-05-30 14:59:48,1.179s,PASSED
"setText(findTestObject(""Object Repository/PROJECT WEB/Education Level/Page_OrangeHRM/input_Level_oxd-input oxd-input--focus""), eduLevel)",Chrome 113.0.0.0,,,2023-05-30 14:59:48,2023-05-30 14:59:49,1.383s,PASSED
"verifyElementPresent(findTestObject(""PROJECT WEB/Education Level/Page_OrangeHRM/span_Already exists""), 0)",Chrome 113.0.0.0,,,2023-05-30 14:59:49,2023-05-30 14:59:50,0.456s,PASSED
,,,,,,,
Test Cases/PROJECT WEB/F6_Education Qualification/Add Education Level/EQ1_TC3_Not Enter Education Level (N),Chrome 113.0.0.0,,,2023-05-30 15:00:04,2023-05-30 15:00:29,25.334s,PASSED
"callTestCase(findTestCase(""PROJECT WEB/Common/F1_LoginFeatures/LF1_TC1_SUCCESSFULY LOGIN (P)""), [""username"":""Admin"", ""password"":""hUKwJTbofgPU9eVlw/CnDQ==""], STOP_ON_FAILURE)",Chrome 113.0.0.0,,,2023-05-30 15:00:04,2023-05-30 15:00:18,14.240s,PASSED
"click(findTestObject(""Object Repository/PROJECT WEB/Education Level/Page_OrangeHRM/a_Admin""))",Chrome 113.0.0.0,,,2023-05-30 15:00:18,2023-05-30 15:00:19,1.285s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/web/index.php/admin/viewSystemUsers"")",Chrome 113.0.0.0,,,2023-05-30 15:00:19,2023-05-30 15:00:20,0.554s,PASSED
"click(findTestObject(""Object Repository/PROJECT WEB/Education Level/Page_OrangeHRM/span_Qualifications""))",Chrome 113.0.0.0,,,2023-05-30 15:00:20,2023-05-30 15:00:21,0.947s,PASSED
"click(findTestObject(""Object Repository/PROJECT WEB/Education Level/Page_OrangeHRM/a_Education""))",Chrome 113.0.0.0,,,2023-05-30 15:00:21,2023-05-30 15:00:22,1.410s,PASSED
"click(findTestObject(""Object Repository/PROJECT WEB/Education Level/Page_OrangeHRM/button_Add""))",Chrome 113.0.0.0,,,2023-05-30 15:00:22,2023-05-30 15:00:24,2.060s,PASSED
"setText(findTestObject(""Object Repository/PROJECT WEB/Education Level/Page_OrangeHRM/input_Level_oxd-input oxd-input--focus""), """")",Chrome 113.0.0.0,,,2023-05-30 15:00:24,2023-05-30 15:00:28,3.993s,PASSED
"click(findTestObject(""PROJECT WEB/Education Level/Page_OrangeHRM/button_Save""))",Chrome 113.0.0.0,,,2023-05-30 15:00:28,2023-05-30 15:00:28,0.367s,PASSED
"verifyElementPresent(findTestObject(""PROJECT WEB/Education Level/Page_OrangeHRM/span_Required""), 0)",Chrome 113.0.0.0,,,2023-05-30 15:00:28,2023-05-30 15:00:29,0.451s,PASSED
,,,,,,,
Test Cases/PROJECT WEB/F6_Education Qualification/Edit Education Level/EQ3_TC1_Rename Education Level Successful (P),Chrome 113.0.0.0,,,2023-05-30 15:00:29,2023-05-30 15:00:58,28.935s,PASSED
"callTestCase(findTestCase(""PROJECT WEB/Common/F1_LoginFeatures/LF1_TC1_SUCCESSFULY LOGIN (P)""), [""username"":""Admin"", ""password"":""hUKwJTbofgPU9eVlw/CnDQ==""], STOP_ON_FAILURE)",Chrome 113.0.0.0,,,2023-05-30 15:00:29,2023-05-30 15:00:42,13.190s,PASSED
"click(findTestObject(""PROJECT WEB/Education Level/Page_OrangeHRM/a_Admin""))",Chrome 113.0.0.0,,,2023-05-30 15:00:42,2023-05-30 15:00:44,1.294s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/web/index.php/admin/viewSystemUsers"")",Chrome 113.0.0.0,,,2023-05-30 15:00:44,2023-05-30 15:00:44,0.546s,PASSED
"click(findTestObject(""PROJECT WEB/Education Level/Page_OrangeHRM/span_Qualifications""))",Chrome 113.0.0.0,,,2023-05-30 15:00:44,2023-05-30 15:00:46,1.506s,PASSED
"click(findTestObject(""PROJECT WEB/Education Level/Page_OrangeHRM/a_Education""))",Chrome 113.0.0.0,,,2023-05-30 15:00:46,2023-05-30 15:00:47,1.394s,PASSED
"click(findTestObject(""PROJECT WEB/Education Level/Page_OrangeHRM/button_Diploma""))",Chrome 113.0.0.0,,,2023-05-30 15:00:47,2023-05-30 15:00:49,1.941s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/web/index.php/admin/saveEducation/2"")",Chrome 113.0.0.0,,,2023-05-30 15:00:49,2023-05-30 15:00:52,2.688s,PASSED
"doubleClick(findTestObject(""PROJECT WEB/Education Level/Page_OrangeHRM/input_wanttosetblank""))",Chrome 113.0.0.0,,,2023-05-30 15:00:52,2023-05-30 15:00:54,2.470s,PASSED
"sendKeys(findTestObject(""PROJECT WEB/Education Level/Page_OrangeHRM/input_wanttosetblank""), Keys.chord(CONTROL, ""a""))",Chrome 113.0.0.0,,,2023-05-30 15:00:54,2023-05-30 15:00:55,0.406s,PASSED
"sendKeys(findTestObject(""PROJECT WEB/Education Level/Page_OrangeHRM/input_wanttosetblank""), Keys.chord("" ""))",Chrome 113.0.0.0,,,2023-05-30 15:00:55,2023-05-30 15:00:55,0.356s,PASSED
"setText(findTestObject(""PROJECT WEB/Education Level/Page_OrangeHRM/input_wanttosetblank""), ""HighSchool"")",Chrome 113.0.0.0,,,2023-05-30 15:00:55,2023-05-30 15:00:56,0.792s,PASSED
"click(findTestObject(""PROJECT WEB/Education Level/Page_OrangeHRM/button_Save""))",Chrome 113.0.0.0,,,2023-05-30 15:00:56,2023-05-30 15:00:56,0.482s,PASSED
"click(findTestObject(""PROJECT WEB/Education Level/Page_OrangeHRM/p_Success""))",Chrome 113.0.0.0,,,2023-05-30 15:00:56,2023-05-30 15:00:58,1.461s,PASSED
,,,,,,,
Test Cases/PROJECT WEB/F6_Education Qualification/Edit Education Level/EQ3_TC2_Rename With Same Name,Chrome 113.0.0.0,,,2023-05-30 15:00:58,2023-05-30 15:01:22,24.636s,PASSED
"callTestCase(findTestCase(""PROJECT WEB/Common/F1_LoginFeatures/LF1_TC1_SUCCESSFULY LOGIN (P)""), [""username"":""Admin"", ""password"":""hUKwJTbofgPU9eVlw/CnDQ==""], STOP_ON_FAILURE)",Chrome 113.0.0.0,,,2023-05-30 15:00:58,2023-05-30 15:01:12,14.248s,PASSED
"click(findTestObject(""Object Repository/PROJECT WEB/Education Level/Page_OrangeHRM/a_Admin (1)""))",Chrome 113.0.0.0,,,2023-05-30 15:01:12,2023-05-30 15:01:14,1.243s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/web/index.php/admin/viewSystemUsers"")",Chrome 113.0.0.0,,,2023-05-30 15:01:14,2023-05-30 15:01:14,0.526s,PASSED
"click(findTestObject(""Object Repository/PROJECT WEB/Education Level/Page_OrangeHRM/span_Qualifications (1)""))",Chrome 113.0.0.0,,,2023-05-30 15:01:14,2023-05-30 15:01:16,1.536s,PASSED
"click(findTestObject(""Object Repository/PROJECT WEB/Education Level/Page_OrangeHRM/a_Education (1)""))",Chrome 113.0.0.0,,,2023-05-30 15:01:16,2023-05-30 15:01:17,1.044s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/web/index.php/admin/saveEducation/2"")",Chrome 113.0.0.0,,,2023-05-30 15:01:17,2023-05-30 15:01:17,0.562s,PASSED
"click(findTestObject(""PROJECT WEB/Education Level/Page_OrangeHRM/button_Diploma""))",Chrome 113.0.0.0,,,2023-05-30 15:01:17,2023-05-30 15:01:19,2.054s,PASSED
"doubleClick(findTestObject(""PROJECT WEB/Education Level/Page_OrangeHRM/input_wanttosetblank""))",Chrome 113.0.0.0,,,2023-05-30 15:01:19,2023-05-30 15:01:20,0.503s,PASSED
"sendKeys(findTestObject(""PROJECT WEB/Education Level/Page_OrangeHRM/input_wanttosetblank""), Keys.chord(CONTROL, ""a""))",Chrome 113.0.0.0,,,2023-05-30 15:01:20,2023-05-30 15:01:20,0.390s,PASSED
"sendKeys(findTestObject(""PROJECT WEB/Education Level/Page_OrangeHRM/input_wanttosetblank""), Keys.chord(DELETE))",Chrome 113.0.0.0,,,2023-05-30 15:01:20,2023-05-30 15:01:21,0.467s,PASSED
"setText(findTestObject(""Object Repository/PROJECT WEB/Education Level/Page_OrangeHRM/input_Level_college""), ""College Undergraduate"")",Chrome 113.0.0.0,,,2023-05-30 15:01:21,2023-05-30 15:01:22,0.807s,PASSED
"click(findTestObject(""PROJECT WEB/Education Level/Page_OrangeHRM/button_Save""))",Chrome 113.0.0.0,,,2023-05-30 15:01:22,2023-05-30 15:01:22,0.474s,PASSED
"verifyElementPresent(findTestObject(""PROJECT WEB/Education Level/Page_OrangeHRM/span_Already exists""), 0)",Chrome 113.0.0.0,,,2023-05-30 15:01:22,2023-05-30 15:01:22,0.375s,PASSED
,,,,,,,
Test Cases/PROJECT WEB/F6_Education Qualification/Edit Education Level/EQ3_TC3_Rename With Blank,Chrome 113.0.0.0,,,2023-05-30 15:01:22,2023-05-30 15:01:45,22.801s,PASSED
"callTestCase(findTestCase(""PROJECT WEB/Common/F1_LoginFeatures/LF1_TC1_SUCCESSFULY LOGIN (P)""), [""username"":""Admin"", ""password"":""hUKwJTbofgPU9eVlw/CnDQ==""], STOP_ON_FAILURE)",Chrome 113.0.0.0,,,2023-05-30 15:01:23,2023-05-30 15:01:37,13.740s,PASSED
"click(findTestObject(""PROJECT WEB/Education Level/Page_OrangeHRM/a_Admin""))",Chrome 113.0.0.0,,,2023-05-30 15:01:37,2023-05-30 15:01:38,1.285s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/web/index.php/admin/viewSystemUsers"")",Chrome 113.0.0.0,,,2023-05-30 15:01:38,2023-05-30 15:01:39,0.512s,PASSED
"click(findTestObject(""Object Repository/PROJECT WEB/Education Level/Page_OrangeHRM/span_Qualifications (1)""))",Chrome 113.0.0.0,,,2023-05-30 15:01:39,2023-05-30 15:01:40,1.454s,PASSED
"click(findTestObject(""PROJECT WEB/Education Level/Page_OrangeHRM/a_Education""))",Chrome 113.0.0.0,,,2023-05-30 15:01:40,2023-05-30 15:01:41,0.943s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/web/index.php/admin/saveEducation/2"")",Chrome 113.0.0.0,,,2023-05-30 15:01:41,2023-05-30 15:01:41,0.537s,PASSED
"click(findTestObject(""PROJECT WEB/Education Level/Page_OrangeHRM/button_Diploma""))",Chrome 113.0.0.0,,,2023-05-30 15:01:41,2023-05-30 15:01:44,2.128s,PASSED
"doubleClick(findTestObject(""PROJECT WEB/Education Level/Page_OrangeHRM/input_wanttosetblank""))",Chrome 113.0.0.0,,,2023-05-30 15:01:44,2023-05-30 15:01:44,0.501s,PASSED
"sendKeys(findTestObject(""PROJECT WEB/Education Level/Page_OrangeHRM/input_wanttosetblank""), Keys.chord(CONTROL, ""a""))",Chrome 113.0.0.0,,,2023-05-30 15:01:44,2023-05-30 15:01:44,0.375s,PASSED
"sendKeys(findTestObject(""PROJECT WEB/Education Level/Page_OrangeHRM/input_wanttosetblank""), Keys.chord(DELETE))",Chrome 113.0.0.0,,,2023-05-30 15:01:44,2023-05-30 15:01:45,0.363s,PASSED
"verifyElementPresent(findTestObject(""PROJECT WEB/Education Level/Page_OrangeHRM/span_Required""), 0)",Chrome 113.0.0.0,,,2023-05-30 15:01:45,2023-05-30 15:01:45,0.457s,PASSED
