Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
F6_EduQualification,Chrome 113.0.0.0,,,2023-05-30 14:59:04,2023-05-30 15:01:45,2m - 41.622s,PASSED
,,,,,,,
Test Cases/PROJECT WEB/F6_Education Qualification/Add Education Level/EQ1_TC1_Add Education Level Success (P),Chrome 113.0.0.0,,,2023-05-30 14:59:04,2023-05-30 14:59:28,24.298s,PASSED
"callTestCase(findTestCase(""PROJECT WEB/Common/F1_LoginFeatures/LF1_TC1_SUCCESSFULY LOGIN (P)""), [""username"":""Admin"", ""password"":""hUKwJTbofgPU9eVlw/CnDQ==""], STOP_ON_FAILURE)",Chrome 113.0.0.0,,,2023-05-30 14:59:05,2023-05-30 14:59:21,15.972s,PASSED
"click(findTestObject(""Object Repository/PROJECT WEB/Education Level/Page_OrangeHRM/a_Admin""))",Chrome 113.0.0.0,,,2023-05-30 14:59:21,2023-05-30 14:59:22,1.282s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/web/index.php/admin/viewSystemUsers"")",Chrome 113.0.0.0,,,2023-05-30 14:59:22,2023-05-30 14:59:22,0.656s,PASSED
"click(findTestObject(""Object Repository/PROJECT WEB/Education Level/Page_OrangeHRM/span_Qualifications""))",Chrome 113.0.0.0,,,2023-05-30 14:59:22,2023-05-30 14:59:23,1.023s,PASSED
"click(findTestObject(""Object Repository/PROJECT WEB/Education Level/Page_OrangeHRM/a_Education""))",Chrome 113.0.0.0,,,2023-05-30 14:59:23,2023-05-30 14:59:25,1.089s,PASSED
"click(findTestObject(""Object Repository/PROJECT WEB/Education Level/Page_OrangeHRM/button_Add""))",Chrome 113.0.0.0,,,2023-05-30 14:59:25,2023-05-30 14:59:26,1.073s,PASSED
"setText(findTestObject(""Object Repository/PROJECT WEB/Education Level/Page_OrangeHRM/input_Level_oxd-input oxd-input--focus""), eduLevel)",Chrome 113.0.0.0,,,2023-05-30 14:59:26,2023-05-30 14:59:27,1.363s,PASSED
"click(findTestObject(""Object Repository/PROJECT WEB/Education Level/Page_OrangeHRM/button_Save""))",Chrome 113.0.0.0,,,2023-05-30 14:59:27,2023-05-30 14:59:27,0.380s,PASSED
"click(findTestObject(""Object Repository/PROJECT WEB/Education Level/Page_OrangeHRM/div_SuccessSuccessfully Saved""))",Chrome 113.0.0.0,,,2023-05-30 14:59:27,2023-05-30 14:59:28,0.870s,PASSED
,,,,,,,
